country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,7.81,7.69,7.16,8.5,33.2,21.1,11.8,7.41,7.29,8.3,8.11,32.3,20.2,13.9
Brazil,13.9,12.6,11.2,10.6,31.5,14.8,5.07,13.3,12.2,11,10.4,31.4,15.2,6.02
China,9.95,9.33,11.5,12.1,32.6,17,7.11,9.85,9.25,11.5,12.2,32.6,16,8.01
Germany,5.68,5.4,6.01,8.58,31.8,27.8,12.8,4.94,4.72,5.25,7.45,27.6,25.5,20.2
United Kingdom,6.7,6.31,7.19,8.51,30.5,23.1,15.9,6.04,5.66,6.46,7.72,28.5,22,19.2
United States,7.71,7.37,7.6,8.45,34.8,19.7,12.6,7.09,6.65,6.84,7.49,32.9,20.1,15.4
Zimbabwe,19.1,16.2,13.3,11,25.8,10.4,3.94,18.8,15.9,13,10.7,25.9,10.8,4.42
