country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,10.4,10.2,7.23,9.09,27.1,23,9.8,10.1,9.81,9.25,8.76,25.7,22.5,12.1
Brazil,17.1,14.3,12.4,10.1,27.4,13.9,4.46,16.7,14.1,12.2,9.99,27.1,14.1,5.39
China,15.9,12.3,12.8,9.3,27.5,17,4.96,15.8,12.3,12.8,9.27,25.6,17.3,6.56
Germany,9.11,8.23,7.57,6.81,30.6,21.5,14.7,7.71,6.99,6.44,5.74,26.1,26.1,18.9
United Kingdom,9.32,7.99,7.34,8.2,26.1,26.2,13.6,8.38,7.07,6.55,7.41,24.2,25.8,17.8
United States,10.2,10.8,10.1,8.91,25.2,22.5,11.1,9.58,10.1,9.41,8.43,24.5,22.9,13.2
Zimbabwe,19.8,15.6,12.8,8.98,25.6,12.6,4.41,19.4,15.4,12.7,8.72,25.3,12.9,5.16
