country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,7.44,7.39,6.35,7.27,31.8,24.4,14.3,6.99,6.96,6.97,6.85,31.3,23.7,17.3
Brazil,11.1,11.3,11.5,10.5,32.7,16.8,6.06,10.5,10.7,10.9,10.1,32.7,17.5,7.65
China,8.55,10.7,8.46,7.98,35.6,19.8,8.87,8.1,10.6,8.41,7.94,35.8,19.5,9.76
Germany,5.32,6.03,5.87,5.55,32.7,27.7,16.9,4.75,5.39,5.26,5,29.3,25.6,24.6
United Kingdom,6.93,6.96,6.58,6.13,30.3,24.9,18.2,6.25,6.29,5.96,5.63,28.9,23.8,23.2
United States,7.84,7.68,7.41,7.2,32.2,23.5,14.2,7.24,7.07,6.84,6.59,30.1,23.6,18.6
Zimbabwe,16,15.2,14.2,12.1,28.2,10,4.25,15.4,14.7,13.8,11.8,28.4,10.9,4.95
