country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,10.9,10.3,8.76,6.74,29.7,23.1,10.3,10.7,8.49,7.94,6.59,28.3,22.5,12.3
Brazil,17.5,13.8,11.2,10.3,28.5,14.2,4.21,17,12.8,11,10.1,28.1,14.8,5.13
China,16.7,11.6,9.31,9.06,29.3,18,5.81,16.9,10.1,8.81,8.39,28,18.5,7.44
Germany,8.14,7.04,7.88,9.76,25.5,27.4,13.1,6.71,6.68,6.54,8.1,26,30,15.6
United Kingdom,7.89,8.92,7.48,6.74,27.9,27.3,12.6,6.96,6.78,6.71,6.21,26.5,27.2,16.4
United States,11.5,10.3,8.37,6.7,28,22.8,11.1,10.9,8.47,7.88,6.57,28.1,23.1,12.3
Zimbabwe,19.3,12.9,12,10,27.5,13.3,4.62,19.1,13.9,11.6,9.63,27.4,13.8,5.55
