country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,6.97,7.43,6.11,7.06,29.8,26.4,15.1,6.48,6.83,6.77,6.69,29.5,26,17.8
Brazil,10.3,10.2,10.5,10.6,33.2,18.4,6.85,9.71,9.64,9.87,10.1,32.9,19.2,8.59
China,6.6,8.2,10.3,8.14,35.2,21.7,9.73,6.13,7.77,10.2,8.1,35.4,21.8,10.6
Germany,5.07,5.39,6.05,5.89,30,27.7,19.8,4.56,4.86,5.47,5.35,27.3,25.8,26.6
United Kingdom,6.34,6.8,6.88,6.42,29.2,25.9,18.6,5.73,6.15,6.22,5.89,28.1,25,22.9
United States,7.21,7.69,7.64,7.37,29.9,26.1,14.1,6.69,7.12,7.07,6.79,28,26.1,18.2
Zimbabwe,15.3,14.5,13.9,13,29.6,9.57,4.18,14.6,13.9,13.4,12.6,29.5,11.1,4.98
