country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,7.94,9.06,8.85,9.11,31.9,21.1,10.9,7.54,8.65,8.49,8.73,8.73,20.3,13
Brazil,14.3,12.6,11.9,11.2,29.9,14.7,4.96,13.8,12.3,11.8,11.1,11.1,15,5.77
China,10.2,12.5,13.1,10.9,29.7,16.8,6.56,10.1,12.4,13.2,10.9,10.9,15.8,7.69
Germany,5.45,6.04,8.51,9.13,30.1,26.1,13.2,4.71,5.23,7.35,7.84,7.84,25.5,20
United Kingdom,6.34,7.25,8.59,8.86,28.7,23.4,15.4,5.7,6.5,7.71,8.02,8.02,22.6,19.1
United States,7.6,7.73,8.63,9.78,32.4,19.9,12.4,6.87,6.97,7.63,8.73,8.73,20.4,15
Zimbabwe,20.2,16.3,13.3,11,24.1,10.7,4.11,19.8,15.9,13,10.8,10.8,11.1,4.63
