country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,10.8,10.1,7.84,7.57,28.2,22.8,9.95,10.5,9.91,9.39,7.36,26.7,22.2,12.3
Brazil,17.3,14.5,11.8,9.59,28.2,13.9,4.39,16.9,14.2,11.6,9.46,27.9,14.2,5.36
China,14.6,14.5,10.5,8.46,28.7,17.9,5.27,14.6,14.5,10.4,7.99,26.9,18.4,6.82
Germany,8.69,7.92,6.98,7.71,29.4,24.2,13.8,7.21,6.58,5.8,6.43,27.6,27.4,17.2
United Kingdom,8.33,7.6,8.64,7.24,27.2,26.9,12.8,7.37,6.76,7.7,6.64,25.4,26.5,17.1
United States,11.4,10.6,9.55,7.53,26,22.8,10.9,10.8,10,8.97,7.19,25.6,23.2,12.6
Zimbabwe,19.5,15.4,10.8,10.1,26.2,13.2,4.54,19.2,15.2,10.5,9.75,26,13.6,5.39
