country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,9.37,9.22,9.17,9.09,29.9,21.5,10.3,9.01,8.82,9.07,8.77,28.9,20.9,12.4
Brazil,14.5,13.5,12.7,11,28.8,14.4,4.92,14.1,13.3,12.5,10.8,28.6,14.5,5.69
China,13.7,14.2,11.9,9.53,28.2,16.5,5.72,13.6,14.3,11.8,9.49,27.4,15.7,7.1
Germany,6.07,8.44,8.86,8.06,30.6,21.6,15,5.22,7.26,7.64,6.97,26,22.7,21.4
United Kingdom,7.35,8.61,8.83,7.62,27.4,23.5,15.3,6.58,7.74,7.93,6.89,25.3,22.9,19.2
United States,7.85,8.41,9.72,10,29.7,21.3,11.5,7.25,7.84,8.98,9.33,28.3,21.2,14.3
Zimbabwe,19.9,15.9,13.2,10.8,24.3,11.6,4.08,19.5,15.6,13,10.6,24.2,12,4.64
