country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,6.73,6.59,4.81,6.13,28.1,25.1,20.9,6.33,6.21,6.15,5.82,27.3,25.3,22.9
Brazil,6.96,7.23,7.34,7.91,33.1,24.9,12.5,6.41,6.67,6.8,7.36,31.7,25.7,15.4
China,5.88,6.26,6.03,5.74,29.2,30.2,16.7,5.45,5.75,5.5,5.28,28.5,30.9,18.5
Germany,4.66,4.53,4.47,4.8,25.1,29.4,27,4.29,4.19,4.14,4.44,23.5,28.1,31.4
United Kingdom,6.26,6.25,6.06,5.57,26.3,26.2,23.4,5.83,5.82,5.66,5.19,25.2,26.2,26.1
United States,6.47,6.21,6.53,6.58,27.9,25.1,21.2,6.07,5.83,6.13,6.2,26.6,24.7,24.5
Zimbabwe,14.7,14.3,12.5,10.7,32.4,11.9,3.56,13.9,13.6,11.9,10.2,32.6,13,4.93
