country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,6.69,6.59,5.01,6.4,28.7,26,19.4,6.3,6.19,5.77,6.04,28,26.4,21.3
Brazil,7.51,7.62,8.23,8.74,33.9,23.4,10.6,6.94,7.08,7.66,8.17,32.6,24.4,13.1
China,6.4,6.16,5.87,5.97,30.9,30.1,14.6,5.88,5.61,5.4,5.59,30.6,30.8,16.1
Germany,4.49,4.48,4.72,5.28,24.9,31.3,24.9,4.12,4.11,4.33,4.77,23.2,29.7,29.7
United Kingdom,6.42,6.23,5.6,6,26.8,26.8,22.1,5.95,5.79,5.19,5.57,25.9,26.7,24.9
United States,6.41,6.75,6.69,6.87,27.8,26.7,18.9,6,6.32,6.26,6.45,26.5,26.2,22.2
Zimbabwe,16.4,14.2,12.2,11,32.5,10.1,3.62,15.4,13.4,11.5,10.5,33.1,11.4,4.83
