country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,7.61,7.62,5.99,8.39,32.5,22.6,13.8,7.2,7.2,7.06,7.97,32,21.6,17
Brazil,12.3,12.5,11.4,10.1,32.4,15.4,5.72,11.7,11.9,11,9.9,32.4,16,7.11
China,11.5,8.99,8.48,10.5,35.1,17.4,8.06,11.2,8.91,8.42,10.4,35.2,16.8,9.02
Germany,5.86,5.72,5.39,6.02,33.7,27.6,15.7,5.18,5.07,4.79,5.35,29.8,25,24.8
United Kingdom,7.04,6.66,6.27,7.13,30.6,24.3,18,6.36,6.01,5.64,6.44,28.9,23.1,23.6
United States,7.97,7.46,7.21,7.47,34.2,21.2,14.5,7.31,6.84,6.61,6.79,31.9,21.4,19.1
Zimbabwe,17.2,15.9,13.6,11.3,27.7,9.98,4.25,16.9,15.6,13.4,11,27.8,10.4,4.87
