country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,9.84,9.98,8.36,8.77,28.4,22.5,9.64,9.51,9.6,9.51,8.58,27.1,22.1,11.8
Brazil,15.7,14.4,12.5,10.7,27.5,14.2,4.68,15.3,14.2,12.3,10.6,27.3,14.3,5.51
China,16.3,13.4,10.7,11.1,26.6,16.6,5.2,16.4,13.3,10.7,11.1,25.2,16.1,6.75
Germany,8.36,8.84,8.02,7.29,30.3,20.7,15.1,7.15,7.58,6.89,6.3,25.4,24,20.3
United Kingdom,8.82,8.94,7.75,7.17,26.8,24.7,14.5,7.97,8.06,6.85,6.47,24.7,24.3,18.5
United States,8.73,10.1,10.4,9.59,26.4,22.2,11.3,8.1,9.29,9.64,8.99,25.6,22.3,13.8
Zimbabwe,19.7,15.9,13,10.7,24,12.2,4.23,19.3,15.7,12.8,10.6,23.7,12.6,4.88
