country,M0_4,M5_9,M0_14,M5_19,M20_39,M40_59,M60,F0_4,F5_9,F0_14,F5_19,F20_39,F40_59,F60
Australia,11,8.69,7.92,6.84,31.5,23.1,10.6,10.7,8.49,7.07,6.66,30.8,22.8,12
Brazil,16.9,13.2,12.1,10.1,29.2,14.1,4.16,16.4,12.8,11.8,9.9,28.8,15,5
China,13.8,10.6,10.2,9.66,30.3,18.9,6.24,13.8,10.1,9.5,9.16,29.6,19.4,8.11
Germany,7.3,8.13,10.1,8.25,25.1,27.4,12.9,5.95,6.68,8.28,6.87,27.8,29.3,14.1
United Kingdom,9.2,7.64,7.01,6.34,29.8,26.2,12.7,8.11,6.78,6.28,6.27,28.4,26.7,15.5
United States,11.1,8.89,7.43,7.15,30.7,22.9,10.9,10.6,8.47,7.14,6.97,30.8,23,11.7
Zimbabwe,16.4,14.4,12,10.2,28.4,13.8,4.56,15.8,13.9,11.5,10,28.3,14.6,5.62
